PASS pin-declared           .github-gen/velnor-workflow.toml [generator] revision = 048a7bdaed8240cf652127c94434e60528633dec
PASS pin-reachable          not applicable: tailrocks/velnor-apt consumes the generator from tailrocks/velnor; the pin is a commit of that repository, proven when the pinned generator is obtained
PASS pin-monotonic          not applicable: tailrocks/velnor-apt consumes the generator from tailrocks/velnor; the pin is a commit of that repository, proven when the pinned generator is obtained
PASS entrypoint-pin         .github/workflows/ci-policy.yml acquires and exports the declared pin (4 literals)
PASS generated-tree         every generated file is byte-identical to the render of velnor-workflow at 048a7bdaed8240cf652127c94434e60528633dec
PASS pull-request-target    only .github/workflows/ci-policy.yml runs on pull_request_target, with the reviewed trigger set
PASS entrypoint-privileges  .github/workflows/ci-policy.yml holds contents: read only, references no secrets, and persists no credentials
PASS trusted-runners        every self-hosted job is gated on a trusted event and an approved runner
PASS action-pins            every action reference is a full-SHA pin or a reviewed local path
PASS workflow-structure     every workflow parses as GitHub would run it
PASS required-checks        .github/workflows/ci-pr.yml emits [ci-required]; live ruleset requires [DCO, Policy, ci-required]
policy: 11 rules, 0 failed
